dtype_f,dtype_y,method,package,n_steps,sol_relerr,grad_x_relerr,grad_A_relerr
torch.bfloat16,torch.bfloat16,euler,torchdiffeq,32,0.35165875156464493,0.34765625,0.22405098378658295
torch.bfloat16,torch.bfloat16,euler,torchdiffeq,64,0.18689238888185183,0.1806640625,0.11190085858106613
torch.bfloat16,torch.bfloat16,euler,torchdiffeq,128,0.06434285119444856,0.06298828125,0.056172970682382584
torch.bfloat16,torch.bfloat16,euler,torchdiffeq,256,0.07692529725358126,0.06787109375,0.08211443573236465
torch.bfloat16,torch.bfloat16,euler,torchdiffeq,512,0.37951381294400416,0.337890625,0.14738768339157104
torch.bfloat16,torch.bfloat16,euler,torchdiffeq,1024,0.4202610972555606,0.419921875,0.7417169809341431
torch.bfloat16,torch.bfloat16,euler,torchdiffeq,2048,139.71004040367208,117.0,20.22097396850586
torch.bfloat16,torch.bfloat16,euler,torchdiffeq,4096,147.4131591025765,147.0,13.16451644897461
torch.bfloat16,torch.bfloat16,euler,torchdiffeq,8192,147.4131591025765,147.0,6.098998069763184
torch.bfloat16,torch.bfloat16,euler,torchmpnode,32,0.35165875156464493,0.34765625,0.22995465993881226
torch.bfloat16,torch.bfloat16,euler,torchmpnode,64,0.18689238888185183,0.1806640625,0.10463574528694153
torch.bfloat16,torch.bfloat16,euler,torchmpnode,128,0.06434285119444856,0.06298828125,0.022933542728424072
torch.bfloat16,torch.bfloat16,euler,torchmpnode,256,0.07692529725358126,0.06787109375,0.05744839087128639
torch.bfloat16,torch.bfloat16,euler,torchmpnode,512,0.37951381294400416,0.337890625,0.3899141848087311
torch.bfloat16,torch.bfloat16,euler,torchmpnode,1024,0.4202610972555606,0.419921875,0.38649147748947144
torch.bfloat16,torch.bfloat16,euler,torchmpnode,2048,139.71004040367208,117.0,111.66592407226562
torch.bfloat16,torch.bfloat16,euler,torchmpnode,4096,147.4131591025765,147.0,147.4131622314453
torch.bfloat16,torch.bfloat16,euler,torchmpnode,8192,147.4131591025765,147.0,147.4131622314453
torch.bfloat16,torch.bfloat16,rk4,torchdiffeq,32,0.00702672395211659,0.040771484375,0.03259587287902832
torch.bfloat16,torch.bfloat16,rk4,torchdiffeq,64,0.04186295496558269,0.07666015625,0.15180477499961853
torch.bfloat16,torch.bfloat16,rk4,torchdiffeq,128,0.06895635762236166,0.09521484375,0.16723637282848358
torch.bfloat16,torch.bfloat16,rk4,torchdiffeq,256,0.07009582676581395,2.171875,0.39859259128570557
torch.bfloat16,torch.bfloat16,rk4,torchdiffeq,512,0.3846838819179837,77.5,14.781161308288574
torch.bfloat16,torch.bfloat16,rk4,torchdiffeq,1024,0.4202610972555606,147.0,16.495201110839844
torch.bfloat16,torch.bfloat16,rk4,torchdiffeq,2048,139.71004040367208,147.0,8.035710334777832
torch.bfloat16,torch.bfloat16,rk4,torchdiffeq,4096,147.4131591025765,147.0,3.5240063667297363
torch.bfloat16,torch.bfloat16,rk4,torchdiffeq,8192,147.4131591025765,147.0,1.2717640399932861
torch.bfloat16,torch.bfloat16,rk4,torchmpnode,32,0.0070907266511357975,0.0135498046875,0.007081947755068541
torch.bfloat16,torch.bfloat16,rk4,torchmpnode,64,0.005425658486008991,0.0,0.0029343622736632824
torch.bfloat16,torch.bfloat16,rk4,torchmpnode,128,0.06895635762236166,0.072265625,0.06634219735860825
torch.bfloat16,torch.bfloat16,rk4,torchmpnode,256,0.07009582676581395,0.06298828125,0.0628722608089447
torch.bfloat16,torch.bfloat16,rk4,torchmpnode,512,0.47278926503307683,0.337890625,0.4256214201450348
torch.bfloat16,torch.bfloat16,rk4,torchmpnode,1024,0.4202610972555606,0.419921875,0.3889176845550537
torch.bfloat16,torch.bfloat16,rk4,torchmpnode,2048,139.71004040367208,118.0,112.18936920166016
torch.bfloat16,torch.bfloat16,rk4,torchmpnode,4096,147.4131591025765,147.0,147.49024963378906
torch.bfloat16,torch.bfloat16,rk4,torchmpnode,8192,147.4131591025765,147.0,147.49024963378906
torch.float16,torch.bfloat16,euler,torchdiffeq,32,0.3535571609244192,0.353515625,0.23331047594547272
torch.float16,torch.bfloat16,euler,torchdiffeq,64,0.18529612907828358,0.185546875,0.11892738938331604
torch.float16,torch.bfloat16,euler,torchdiffeq,128,0.0960075675929868,0.09521484375,0.06143393740057945
torch.float16,torch.bfloat16,euler,torchdiffeq,256,0.047243489746439715,0.049560546875,0.043380387127399445
torch.float16,torch.bfloat16,euler,torchdiffeq,512,0.024557361985524485,0.0225830078125,0.031172994524240494
torch.float16,torch.bfloat16,euler,torchdiffeq,1024,0.011902362990893124,0.0135498046875,0.05828651040792465
torch.float16,torch.bfloat16,euler,torchdiffeq,2048,0.005326100054608618,0.009033203125,0.09008003026247025
torch.float16,torch.bfloat16,euler,torchdiffeq,4096,0.003167791086974387,0.0045166015625,0.37728291749954224
torch.float16,torch.bfloat16,euler,torchdiffeq,8192,0.0016233337733610287,0.0,0.6798083782196045
torch.float16,torch.bfloat16,euler,torchmpnode,32,0.3540702144232722,0.34765625,0.23110777139663696
torch.float16,torch.bfloat16,euler,torchmpnode,64,0.1863518964407997,0.1806640625,0.10535208135843277
torch.float16,torch.bfloat16,euler,torchmpnode,128,0.09542702065830129,0.06298828125,0.04013954848051071
torch.float16,torch.bfloat16,euler,torchmpnode,256,0.048246664851986754,0.06787109375,0.03957141563296318
torch.float16,torch.bfloat16,euler,torchmpnode,512,0.024336018194493884,0.337890625,0.1707078069448471
torch.float16,torch.bfloat16,euler,torchmpnode,1024,0.012134340543143005,0.419921875,0.19904422760009766
torch.float16,torch.bfloat16,euler,torchmpnode,2048,0.006032076855801301,117.0,22.49768829345703
torch.float16,torch.bfloat16,euler,torchmpnode,4096,0.0029692753710027285,147.0,28.483261108398438
torch.float16,torch.bfloat16,euler,torchmpnode,8192,0.001523985815818961,147.0,28.482954025268555
torch.float16,torch.bfloat16,rk4,torchdiffeq,32,0.0012470341520456926,0.0,0.007370423059910536
torch.float16,torch.bfloat16,rk4,torchdiffeq,64,0.0012470341520456926,0.0,0.007830309681594372
torch.float16,torch.bfloat16,rk4,torchdiffeq,128,0.0012470341520456926,0.0045166015625,0.026305843144655228
torch.float16,torch.bfloat16,rk4,torchdiffeq,256,0.0012470341520456926,0.009033203125,0.04008658230304718
torch.float16,torch.bfloat16,rk4,torchdiffeq,512,0.0012470341520456926,0.0,0.16215312480926514
torch.float16,torch.bfloat16,rk4,torchdiffeq,1024,0.0012470341520456926,0.0,0.1639646291732788
torch.float16,torch.bfloat16,rk4,torchdiffeq,2048,0.0012470341520456926,0.0,0.4486977159976959
torch.float16,torch.bfloat16,rk4,torchdiffeq,4096,0.0012470341520456926,0.0045166015625,0.722309947013855
torch.float16,torch.bfloat16,rk4,torchdiffeq,8192,0.0012470341520456926,0.009033203125,0.8608904480934143
torch.float16,torch.bfloat16,rk4,torchmpnode,32,0.00023312566017795886,0.009033203125,0.0015548748197034001
torch.float16,torch.bfloat16,rk4,torchmpnode,64,0.0006084955196040226,0.0045166015625,0.006567892152816057
torch.float16,torch.bfloat16,rk4,torchmpnode,128,0.00026221914712313665,0.072265625,0.034486401826143265
torch.float16,torch.bfloat16,rk4,torchmpnode,256,0.0003015877261956963,0.06298828125,0.02927241101861
torch.float16,torch.bfloat16,rk4,torchmpnode,512,0.00019817445422741414,0.337890625,0.17654822766780853
torch.float16,torch.bfloat16,rk4,torchmpnode,1024,0.00037246849785084067,0.419921875,0.19760702550411224
